=========================================
2025-10-30 09:16:36 bug id 2 (sanic-1) unittest result: ['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']
2025-10-30 09:16:36 bug id 30 (pandas-10) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-30 09:16:36 bug id 31 (pandas-28) unittest result: ['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']
2025-10-30 09:16:36 bug id 32 (pandas-30) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-30 09:16:36 bug id 33 (pandas-48) unittest result: ['Pass', 'Pass', 'Pass', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-30 09:16:36 bug id 35 (pandas-61) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-30 09:16:36 bug id 36 (pandas-64) unittest result: ['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']
2025-10-30 09:16:36 bug id 37 (pandas-69) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-30 09:16:36 bug id 38 (pandas-74) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-30 09:16:36 bug id 42 (pandas-89) unittest result: ['Fail', 'Fail', 'Fail', 'Pass', 'Pass', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-30 09:16:36 bug id 43 (pandas-106) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-30 09:16:36 bug id 44 (pandas-116) unittest result: ['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']
2025-10-30 09:16:36 bug id 45 (pandas-117) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-30 09:16:36 bug id 46 (pandas-150) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-30 09:16:36 bug id 47 (thefuck-2) unittest result: ['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Fail', 'Fail', 'Fail']
2025-10-30 09:16:36 bug id 48 (thefuck-5) unittest result: ['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']
2025-10-30 09:16:36 bug id 49 (thefuck-19) unittest result: ['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']
2025-10-30 09:16:36 bug id 50 (thefuck-25) unittest result: ['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']
2025-10-30 09:16:36 bug id 51 (thefuck-27) unittest result: ['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']
2025-10-30 09:16:36 bug id 53 (tornado-11) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Pass', 'Fail', 'Fail', 'Fail', 'Pass']
2025-10-30 09:16:36 bug id 54 (tornado-14) unittest result: ['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']
2025-10-30 09:16:36 bug id 60 (fastapi-5) unittest result: ['Error: test execution', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-30 09:16:36 bug id 61 (black-21) unittest result: ['Fail', 'Pass', 'Pass', 'Fail', 'Fail', 'Pass', 'Pass', 'Fail', 'Fail', 'Fail']
2025-10-30 09:16:36 bug id 66 (tqdm-1) unittest result: ['Pass', 'Pass', 'Fail', 'Fail', 'Pass', 'Pass', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-30 09:16:36 bug id 67 (tqdm-6) unittest result: ['Pass', 'Pass', 'Pass', 'Pass', 'Fail', 'Pass', 'Fail', 'Pass', 'Pass', 'Fail']
2025-10-30 09:16:36 bug id 68 (tqdm-8) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
