=========================================
2025-10-31 10:11:29 bug id 1 (Chart-1) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 12 (Cli-28) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 13 (Cli-40) unittest result: ['Fail', 'Pass', 'Fail', 'Pass', 'Fail', 'Fail', 'Fail', 'Pass', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 14 (Closure-10) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Pass', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 15 (Closure-14) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 16 (Closure-18) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 17 (Closure-38) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 18 (Closure-52) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 19 (Closure-62) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 20 (Closure-65) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 21 (Closure-67) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 22 (Closure-70) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 23 (Closure-71) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 24 (Closure-73) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 25 (Closure-86) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 26 (Closure-92) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 27 (Closure-104) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 28 (Closure-113) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 29 (Closure-114) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 30 (Closure-125) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 31 (Closure-130) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 32 (Closure-168) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 33 (Codec-2) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 34 (Codec-3) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 35 (Codec-4) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 36 (Codec-7) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 37 (Codec-9) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 38 (Codec-10) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 39 (Codec-17) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 40 (Codec-18) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 41 (Collections-3) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 42 (Collections-9) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 43 (Collections-26) unittest result: ['Fail', 'Fail', 'Fail', 'Pass', 'Pass', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 44 (Compress-19) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Error: empty-after-sanitize']
2025-10-31 10:11:29 bug id 45 (Compress-23) unittest result: ['Fail', 'Pass', 'Pass', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 46 (Compress-38) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 47 (Csv-4) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 48 (Csv-11) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Pass', 'Pass', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 49 (Csv-14) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 50 (Gson-13) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 51 (Gson-15) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Pass', 'Fail', 'Pass']
2025-10-31 10:11:29 bug id 52 (JacksonCore-5) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 53 (JacksonCore-8) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 54 (JacksonCore-25) unittest result: ['Fail', 'Pass', 'Fail', 'Fail', 'Pass', 'Fail', 'Pass', 'Fail', 'Pass', 'Pass']
2025-10-31 10:11:29 bug id 55 (JacksonDatabind-16) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Pass', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 56 (JacksonDatabind-17) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 57 (JacksonDatabind-27) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 58 (JacksonDatabind-34) unittest result: ['Fail', 'Pass', 'Pass', 'Fail', 'Pass', 'Fail', 'Pass', 'Fail', 'Pass', 'Fail']
2025-10-31 10:11:29 bug id 59 (JacksonDatabind-37) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 60 (JacksonDatabind-46) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 61 (JacksonDatabind-57) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Pass', 'Pass', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 62 (JacksonDatabind-70) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 63 (JacksonDatabind-71) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 64 (JacksonDatabind-82) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 65 (JacksonDatabind-96) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 66 (JacksonDatabind-107) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 67 (JacksonXml-5) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 68 (Jsoup-32) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 69 (Jsoup-34) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 70 (Jsoup-37) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 71 (Jsoup-43) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 72 (Jsoup-45) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 73 (Jsoup-46) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 74 (Jsoup-47) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 75 (Jsoup-51) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 76 (Jsoup-57) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 77 (Jsoup-61) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 78 (Jsoup-62) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 79 (Jsoup-77) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 80 (Jsoup-86) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 81 (Jsoup-88) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 82 (JxPath-10) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 83 (Lang-6) unittest result: ['Error: test execution', 'Fail', 'Fail', 'Error: test execution', 'Fail', 'Error: test execution', 'Fail', 'Fail', 'Fail', 'Error: test execution']
2025-10-31 10:11:29 bug id 84 (Lang-16) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 85 (Lang-21) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 86 (Lang-24) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 87 (Lang-26) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 88 (Lang-29) unittest result: ['Fail', 'Fail', 'Fail', 'Pass', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 89 (Lang-33) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 90 (Lang-57) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 91 (Lang-59) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 92 (Math-2) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 93 (Math-5) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 94 (Math-11) unittest result: ['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 95 (Math-27) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 96 (Math-30) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 97 (Math-32) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 98 (Math-33) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 99 (Math-34) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 100 (Math-41) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 101 (Math-57) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 102 (Math-59) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 103 (Math-63) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 104 (Math-69) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Pass', 'Fail']
2025-10-31 10:11:29 bug id 105 (Math-70) unittest result: ['Fail', 'Fail', 'Fail', 'Pass', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 106 (Math-75) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 107 (Math-80) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 108 (Math-85) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 109 (Math-94) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 110 (Math-96) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 111 (Math-105) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 112 (Mockito-8) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 113 (Mockito-29) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 114 (Mockito-34) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 115 (Mockito-38) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 116 (Time-4) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 117 (Time-16) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 118 (Time-19) unittest result: ['Fail', 'Fail', 'Fail', 'Error: empty-after-sanitize', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
